R U1 U2 count
0 4.72 88 50
0 4.72 104 100
0 4.72 128 120
0 4.72 216 150
0 4.72 352 160
0 4.72 1110 170
0 4.72 512 165
0 4.72 408 162.5
0 4.72 200 199.7
0 4.72 360 195
0 4.72 560 185
0 4.72 2970 173
0 4.72 4250 174
0 4.72 4300 175
0 4.72 1500 178
0 4.72 760 182
0 4.72 655 167
0 4.72 900 169
0 4.72 1360 171
0 4.72 1610 172
20 4.72 66 20
20 4.72 68 40
20 4.72 84 100
20 4.72 100 120
20 4.72 144 140
20 4.72 284 160
20 4.72 470 180
20 4.72 568 175
20 4.72 360 185
20 4.72 48 200
20 4.72 508 170
20 4.72 540 172
20 4.72 556 174
20 4.72 536 177
20 4.72 548 173
20 4.72 540 172.5
20 4.72 555 174.5
5 4.72 350 162.5
5 4.72 440 165
5 4.72 600 168
5 4.72 784 170
5 4.72 1200 172
5 4.72 1600 174
5 4.72 1720 176
5 4.72 1680 175
5 4.72 1640 174.5
5 4.72 1520 177
5 4.72 960 180
5 4.72 440 190
5 4.72 280 130
5 4.72 72 70
5 4.72 64 20
10 4.72 68 20
10 4.72 70 50
10 4.72 78 100
10 4.72 97 120
10 4.72 184 250
10 4.72 280 150
10 4.72 408 165
10 4.72 596 169
10 4.72 664 170
10 4.72 816 172
10 4.72 904 173
10 4.72 960 174.5
10 4.72 824 179
10 4.72 448 185
